ssoc_group,ssoc_major_title,n_jobs,overall_mean_sim,rank_overall_mean_sim,top1_module,top1_title,top1_sim,top2_module,top2_title,top2_sim,top3_module,top3_title,top3_sim
"PAINTERS, BUILDING STRUCTURE CLEANERS AND RELATED WORKERS",CRAFTSMEN AND RELATED TRADES WORKERS,3,0.4188375473022461,98,RE2707,Asset and Property Management,0.5751953125,PF4309,Infrastructure Operations and Maintenance,0.57177734375,AR1326,Architectural Construction,0.5690104365348816
"SHEET AND STRUCTURAL METAL WORKERS, MOULDERS AND WELDERS AND RELATED TRADES WORKERS",CRAFTSMEN AND RELATED TRADES WORKERS,8,0.4182218015193939,99,TCE3166,Structural Steel Design and System,0.5692138671875,ME2102,Engineering Innovation and Modelling,0.5496826171875,CE3166,Steel Design for Urban Infrastructure,0.549560546875
"METAL PROCESSING, FINISHING AND PRODUCTS PLANT OPERATORS",PLANT AND MACHINE OPERATORS AND ASSEMBLERS,3,0.41733571887016296,100,ME2162E,Manufacturing Processes,0.6189778447151184,ME3261E,Computer-Aided Design and Manufacturing,0.6110026240348816,ME3261,Computer-Aided Design And Manufacturing,0.6110026240348816
CLERICAL SUPERVISORS,CLERICAL SUPPORT WORKERS,3,0.41696152091026306,101,MKT3720,Retail Marketing,0.5555012822151184,MNO4314,Consulting to Management,0.5520833134651184,MKT3425,Retail Marketing,0.5499674677848816
BUILDING FRAME AND RELATED TRADES WORKERS,CRAFTSMEN AND RELATED TRADES WORKERS,23,0.4156954884529114,102,AR1326,Architectural Construction,0.6213697195053101,PF2103,Measurement (Building Works),0.5776897668838501,IPM2103,Measurement (Building Works),0.5776897668838501
ELECTRICAL EQUIPMENT RELATED TRADES WORKERS,CRAFTSMEN AND RELATED TRADES WORKERS,7,0.41531723737716675,103,IPM2106,Mechanical and Electrical Systems,0.5816825032234192,PF4309,Infrastructure Operations and Maintenance,0.5661272406578064,EE4502,Electric Drives & Control,0.5623604655265808
FOOD PREPARATION AND KITCHEN ASSISTANTS,"CLEANERS, LABOURERS AND RELATED WORKERS",7,0.4148610532283783,104,FST3112,Food Quality Assurance and Control,0.5654994249343872,FST2205,Global Food Science & Technology Immersion Programme,0.5485142469406128,SN2285,What’s Cooking: Food and Drink in South Asian Cultures,0.5482701063156128
HOUSEKEEPERS AND RELATED WORKERS,SERVICES AND SALES WORKERS,5,0.4121464788913727,105,RE2707,Asset and Property Management,0.552734375,MNO4314,Consulting to Management,0.5450195074081421,MNO4711,Consulting to Management,0.5409179925918579
MOBILE MACHINERY OPERATORS,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,13,0.41135933995246887,106,PF4309,Infrastructure Operations and Maintenance,0.5234562754631042,LL4008A,Carriage of Goods by Sea,0.522629976272583,LL4008AV,Carriage of Goods by Sea,0.522629976272583
PROTECTIVE SERVICES WORKERS,SERVICES AND SALES WORKERS,13,0.40947431325912476,107,PS3245,Public Personnel Administration,0.5570725798606873,LL4261V,Employment Law & Migrant Workers Clinic,0.548903226852417,LL4217,Comparative & International Anti-Corruption Law,0.548020601272583
BUILDING FINISHERS AND RELATED TRADES WORKERS,CRAFTSMEN AND RELATED TRADES WORKERS,18,0.40552473068237305,108,AR1326,Architectural Construction,0.5373806357383728,IPM2103,Measurement (Building Works),0.5249159336090088,PF2103,Measurement (Building Works),0.5249159336090088
