module_code,module_title,module_faculty,module_department,top_k_mean_sim,rank_top_k_sim,top_k_max_sim,top_k_min_sim,breadth_n_ssoc_groups,rank_breadth,coverage_n_jobs,coverage_pct,rank_coverage
TIC2003,Software Development Project,Cont and Lifelong Education,SCALE Dean's Office,0.671826183795929,317,0.6884765625,0.66162109375,2,9,1695,23.87,1178
EG3301R,Ideas to Proof-of-Concept,College of Design and Engineering,CDE Dean's Office,0.6717284917831421,318,0.69140625,0.65673828125,3,8,3484,49.06,350
LL4259AV,Alternative Investments,Law,FoL Dean's Office,0.671679675579071,319,0.69921875,0.6572265625,2,9,3351,47.19,392
LL4259V,Alternative Investments,Law,FoL Dean's Office,0.671679675579071,319,0.69921875,0.6572265625,2,9,3351,47.19,392
TCE3155,Structural Analysis,Cont and Lifelong Education,SCALE Dean's Office,0.67138671875,320,0.68310546875,0.6630859375,2,9,778,10.96,1896
CE3155,Structural Analysis,College of Design and Engineering,Civil and Environmental Engineering,0.67138671875,320,0.68310546875,0.6630859375,2,9,778,10.96,1896
FIN4761D,SIF: Family Business & Wealth Management,NUS Business School,Finance,0.6712890863418579,321,0.685546875,0.662109375,6,5,4563,64.26,120
FIN4112L,SIF: Family Business & Wealth Management,NUS Business School,Finance,0.6712890863418579,321,0.685546875,0.662109375,6,5,4563,64.26,120
LL4529,FinTech and the Law,Law,FoL Dean's Office,0.6712890863418579,321,0.77978515625,0.6484375,2,9,2381,33.53,792
LL4529V,FinTech and the Law,Law,FoL Dean's Office,0.6712890863418579,321,0.77978515625,0.6484375,2,9,2381,33.53,792
ME3261E,Computer-Aided Design and Manufacturing,Cont and Lifelong Education,SCALE Dean's Office,0.6712402105331421,322,0.71533203125,0.6572265625,1,10,1306,18.39,1450
TME3261,Computer-Aided Design and Manufacturing,Cont and Lifelong Education,SCALE Dean's Office,0.6712402105331421,322,0.71533203125,0.6572265625,1,10,1306,18.39,1450
NRM3301R,NUSC Undergraduate Research Opportunity (UROP),NUS College,NUS College Dean's Office,0.6712402105331421,322,0.70751953125,0.66015625,4,7,2947,41.5,541
CS3213,Foundations of Software Engineering,Computing,Computer Science,0.671142578125,323,0.71142578125,0.65771484375,2,9,1502,21.15,1312
ACC3701,Assurance and Attestation,NUS Business School,Accounting,0.6709960699081421,324,0.70654296875,0.640625,2,9,2182,30.73,892
NM3245,Managing Arts and Cultural Events,Arts and Social Science,Communications and New Media,0.6709960699081421,324,0.68212890625,0.66748046875,1,10,2199,30.97,884
CE3155A,Structural Behaviour,College of Design and Engineering,Civil and Environmental Engineering,0.670947253704071,325,0.681640625,0.66552734375,2,9,650,9.15,2016
